days,Afghanistan,Albania,Algeria,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belarus,Belgium,Benin,Bolivia,Bosnia and Herzegovina,Brazil,Bulgaria,Burkina Faso,Cabo Verde,Cameroon,Canada,Central African Republic,Chile,China,Colombia,Congo (Brazzaville),Congo (Kinshasa),Costa Rica,Cote d'Ivoire,Croatia,Cuba,Cyprus,Czechia,Denmark,Djibouti,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Estonia,Eswatini,Ethiopia,Europe,Finland,France,Gabon,Georgia,Germany,Ghana,Greece,Guatemala,Guinea,Guinea-Bissau,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Japan,Jordan,Kazakhstan,Kenya,South Korea,Kosovo,Kuwait,Kyrgyzstan,Latvia,Lebanon,Liberia,Libya,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Maldives,Mali,Mauritania,Mexico,Moldova,Montenegro,Morocco,Mozambique,Namibia,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,North Macedonia,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Saudi Arabia,Senegal,Serbia,Sierra Leone,Singapore,Slovakia,Slovenia,Somalia,South Africa,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Tajikistan,Thailand,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,Uruguay,US,Uzbekistan,Venezuela,West Bank and Gaza,Yemen,Zambia,Zimbabwe,doubles every day,doubles every 2 days,doubles every 3 days,doubles every week,doubles every month
day 56,9349,936.2857142857143,6446,NA,6881.714285714285,3735.4285714285716,6846.857142857143,15544.42857142857,3507.4285714285716,3437.714285714286,47435,34313.42857142857,48919.142857142855,1158.5714285714287,7265.714285714285,2259.5714285714284,144726.7142857143,2065.714285714286,795.8571428571429,907,4304.285714285715,63167.28571428572,3743.8571428571427,31394.285714285714,80857.71428571429,12949,715.1428571428571,2415,839.1428571428571,2269.5714285714284,2210,1918.5714285714287,914.8571428571429,7953.285714285715,9744.857142857143,3715.4285714285716,11757.714285714286,30144.714285714286,8479.42857142857,2788.4285714285716,1510.5714285714287,1726,731.2857142857143,3107.5714285714284,1044347.5714285715,5551,161873.57142857142,3501,728.5714285714286,155961.2857142857,6307.857142857143,2650.285714285714,5885.714285714285,3660.8571428571427,1549.5714285714287,5903.571428571428,3664.714285714286,1036.7142857142858,3424,1799.857142857143,63437.42857142857,13573.857142857143,83414.57142857143,2617.285714285714,22578.285714285714,16332,175230.2857142857,9386.142857142857,608.8571428571429,7100,1616.857142857143,10586.42857142857,1033.142857142857,7991.142857142857,1492.142857142857,978.1428571428571,834.4285714285714,507.14285714285717,2199.285714285714,1531.857142857143,3882.714285714286,1021.4285714285714,3023.285714285714,6244.428571428572,2112.5714285714284,1503,5431.428571428572,38706.57142857143,6046.142857142857,324,6765.285714285715,1015.7142857142857,NA,14558.714285714286,39536.28571428572,1499.857142857143,2932,954.1428571428571,7533,1766.7142857142858,7735.142857142857,6100,30266.285714285714,8946.57142857143,977.8571428571429,70280,10664.285714285714,15721,26625.428571428572,16387.714285714286,15039.42857142857,220618,370.14285714285717,37317.71428571428,2721.714285714286,10293.42857142857,1332.7142857142858,12726.42857142857,1471.142857142857,1448.857142857143,2494.1428571428573,11396.285714285714,2019,208958.2857142857,1034.2857142857142,7474.428571428572,1763.857142857143,20837.14285714286,29429.14285714286,5788,3003.714285714286,1041,141619.7142857143,893,18558.14285714286,18916.714285714286,155186.14285714287,724.2857142857143,1019768.8571428572,3036.285714285714,878.2857142857143,420.2857142857143,1386.142857142857,1483.5714285714287,1868,NA,NA,NA,25599.999999999887,358.2319833733604
day 57,9945.857142857143,946.4285714285714,6633.142857142857,NA,7172.285714285715,3901,6866.857142857143,15584.714285714286,3628,3603.285714285714,49898.142857142855,35249.28571428572,49372.71428571428,1179.4285714285713,7791,2282,153692.2857142857,2100.8571428571427,800.7142857142857,932.7142857142857,4576.714285714285,64737.57142857143,3821,33329.142857142855,80878.42857142857,13593.42857142857,721.5714285714286,2549.4285714285716,850.2857142857143,2313,2215.5714285714284,1929.4285714285713,917.1428571428571,8002.142857142857,9877,3854.714285714286,12089.57142857143,30672.14285714286,8892.57142857143,2863,1561.7142857142858,1731,751,3286.5714285714284,1075094.2857142857,5652.142857142857,163382.57142857142,3624.8571428571427,731,157517.14285714287,6461.142857142857,2663.1428571428573,6166.857142857143,3754.8571428571427,1560,5976.142857142857,3905.4285714285716,1037.2857142857142,3458.714285714286,1800.142857142857,67018.57142857143,14002.42857142857,84657.42857142857,2686.1428571428573,22758.14285714286,16370.42857142857,178397.7142857143,9884,621.7142857142857,7439.142857142857,1721.857142857143,10607.714285714286,1040,8668.142857142857,1543.142857142857,987,849,529.2857142857143,2314,1542.142857142857,3890.714285714286,1057.7142857142858,3115.8571428571427,6310.857142857143,2136.5714285714284,1543.142857142857,5503.857142857143,40661.42857142857,6210.571428571428,324,6854,1040.2857142857142,NA,14946.714285714286,39897.42857142857,1500.7142857142858,2975,955.1428571428571,7826.714285714285,1790.142857142857,7778.714285714285,6469.142857142857,31858.285714285714,9112,1004.4285714285714,73515.42857142857,10894.857142857143,16073,26933.285714285714,17259.85714285714,15310.142857142857,231330,378.85714285714283,39159.42857142857,2802.714285714286,10376,1346.4285714285713,13512.142857142857,1476.4285714285713,1451.857142857143,2533.285714285714,12101.285714285714,2021,209017,1057.142857142857,7679.714285714285,1827.142857142857,21379.285714285714,29549.714285714286,5841.571428571428,3007.714285714286,1042.857142857143,143184.2857142857,904.4285714285714,18960.714285714286,19636.428571428572,159795.7142857143,728,1047653.8571428572,3098.4285714285716,958.1428571428571,425.42857142857144,1417.4285714285713,1501.7142857142858,2004.5714285714287,NA,NA,NA,28264.69155004947,366.48832966578635
day 58,10561.714285714286,955.7142857142857,6820.285714285715,NA,7471.285714285715,4105.428571428572,6886.857142857143,15627.57142857143,3749.1428571428573,3785.285714285714,52404.857142857145,36182.142857142855,49790.142857142855,1190.142857142857,8322.285714285714,2300.8571428571427,162767.42857142858,2135.8571428571427,805.2857142857143,958.2857142857143,4820,66107.14285714286,3881,35424.857142857145,80904.57142857143,14262.285714285714,750.1428571428571,2682.1428571428573,862,2359.285714285714,2220.1428571428573,1940,919.5714285714286,8053.142857142857,10006.57142857143,3976.5714285714284,12415.42857142857,31189.714285714286,9298.714285714286,2939.8571428571427,1612.857142857143,1736.4285714285713,772.4285714285714,3470,1105836,5746,164667.7142857143,3746.8571428571427,734.2857142857143,158928.57142857142,6607,2676,6476.285714285715,3817.4285714285716,1570.4285714285713,6050,4126.571428571428,1037.5714285714287,3495.4285714285716,1800.4285714285713,70682.28571428571,14463.857142857143,85866,2765,22922.85714285714,16407.571428571428,181402.2857142857,10364.57142857143,635.7142857142857,7756,1828.2857142857142,10627.285714285714,1045.5714285714287,9440.714285714286,1592.4285714285713,996.2857142857143,862.5714285714286,553.2857142857143,2435,1553.857142857143,3898.1428571428573,1092.857142857143,3207.714285714286,6377.142857142857,2158.285714285714,1580.4285714285713,5580.714285714285,42689.57142857143,6368,324,6940.285714285715,1064,NA,15318.714285714286,40279.42857142857,1501.5714285714287,3018,956.2857142857143,8098,1815.142857142857,7820.857142857143,6810.714285714285,33624.57142857143,9270.57142857143,1028.7142857142858,76876.28571428571,11113.857142857143,16439.85714285714,27249.14285714286,18182.571428571428,15559.857142857143,241811,388.14285714285717,41036.28571428572,2886.4285714285716,10450.714285714286,1360.857142857143,14225.142857142857,1481.857142857143,1454.142857142857,2567.8571428571427,12887,2021,210763.57142857142,1084.2857142857142,7904.428571428572,NA,21892.85714285714,29666.428571428572,5894,3011.4285714285716,1044.4285714285713,144724,916.2857142857143,19349.571428571428,20380.714285714286,164376.14285714287,731,1075238.5714285714,3159.8571428571427,1024.142857142857,428.7142857142857,1447.142857142857,1521.4285714285713,2133.285714285714,NA,NA,NA,31206.749547634427,374.9349639762127
day 59,11184.57142857143,963.7142857142857,7004.428571428572,NA,7792.142857142857,4320.142857142857,6904.857142857143,15662.285714285714,3875.4285714285716,3998.1428571428573,55036,37108.857142857145,50204.57142857143,1197.2857142857142,8875.285714285714,2320.285714285714,172394.85714285713,2169.5714285714284,807.8571428571429,990.8571428571429,4984,67436.71428571429,3927.5714285714284,37679.28571428572,80932.42857142857,14928.42857142857,772.2857142857143,2810.4285714285716,872.4285714285714,2405.714285714286,2223.714285714286,1950.7142857142858,921.4285714285714,8099.571428571428,10136.857142857143,4077.8571428571427,12749.285714285714,31771.571428571428,9705.57142857143,3021.1428571428573,1664,1741.857142857143,796.2857142857143,3635,1135248.7142857143,5830.428571428572,165718.14285714287,3872.1428571428573,738.4285714285714,160225.42857142858,6754.714285714285,2689.4285714285716,6802,3875.1428571428573,1580.857142857143,6129.428571428572,4308.714285714285,1037.857142857143,3532.714285714286,1800.7142857142858,74409.28571428571,14947.285714285714,87047.42857142857,2850.714285714286,23128.85714285714,16441.85714285714,184339.42857142858,10822,650.5714285714286,8072.857142857143,1934.7142857142858,10644.285714285714,1051,10248.142857142857,1647.2857142857142,1005.2857142857143,875.8571428571429,575,2567.714285714286,1565.4285714285713,3905.714285714286,1130.7142857142858,3312.4285714285716,6436.142857142857,2178.8571428571427,1618.5714285714287,5654.714285714285,44876.142857142855,6519.428571428572,324,7037.428571428572,1088.2857142857142,NA,15658.285714285714,40639.42857142857,1502.2857142857142,3061,957.5714285714286,8389.57142857143,1841,7861.714285714285,7160.285714285715,35062.142857142855,9425.42857142857,1046.7142857142858,80442.85714285714,11346.42857142857,16818.428571428572,27527.714285714286,19178.14285714286,15792.142857142857,252105.85714285713,398.42857142857144,42999.71428571428,2964.1428571428573,10520.714285714286,1375.142857142857,14943.142857142857,1486.142857142857,1456.2857142857142,2602.714285714286,13712.857142857143,2021,212288.85714285713,1126,8098.714285714285,NA,22409.428571428572,29772.85714285714,5938.428571428572,3015,1046.4285714285713,146270,928,19734.571428571428,21117.85714285714,168920.7142857143,734.8571428571429,1102824.7142857143,3228.4285714285716,1084.2857142857142,432,1475.142857142857,1538.142857142857,2274.8571428571427,NA,NA,NA,34455.04493138816,383.57627196489545
day 60,11819.285714285714,971.1428571428571,7188.142857142857,NA,8135.571428571428,4542,6922.428571428572,15701.57142857143,4001.8571428571427,4220.714285714285,57695.42857142857,38031.857142857145,50630.142857142855,1199,9426,2338,182880.14285714287,2201.4285714285716,813,1028.7142857142858,5132,68751.57142857143,3979.5714285714284,40223.28571428572,80969.57142857143,15608,794.4285714285714,2942.285714285714,882.1428571428571,2454.285714285714,2226.714285714286,1963.4285714285713,924.1428571428571,8141.714285714285,10266.285714285714,4156.714285714285,13070.714285714286,32304.714285714286,10098.714285714286,3105.714285714286,1664,1747.7142857142858,822.1428571428571,3821.1428571428573,1162178.4285714286,5899.142857142857,166700.14285714287,4010,746,161433.14285714287,6902.428571428572,2704,7153.571428571428,3933.8571428571427,1594.857142857143,6192,4539.714285714285,1038.2857142857142,3570,1801.142857142857,78386.42857142857,15430.142857142857,88185.57142857143,2935,23331,16475.85714285714,187114.57142857142,11260.714285714286,664.4285714285714,8406.42857142857,2037.857142857143,10659,1057.4285714285713,11130.857142857143,1701.142857142857,1013.8571428571429,885.2857142857143,595.4285714285714,2717.1428571428573,1577.142857142857,3914.1428571428573,1163,3408.4285714285716,6487.285714285715,2199,1654.7142857142858,5722.857142857143,47165,6667,324,7132.428571428572,1117.857142857143,NA,15945.714285714286,40991,1503,3104,958.7142857142857,8722.285714285714,1866.5714285714287,7904,7493.142857142857,36464.57142857143,9573,1068,84173,11588.57142857143,17190.714285714286,27756.85714285714,20239.85714285714,16016.857142857143,262010.7142857143,408.2857142857143,45125.42857142857,3041.1428571428573,10597.57142857143,1390.857142857143,15636.714285714286,1490,1458.4285714285713,2632.1428571428573,14548.57142857143,2021,213693.42857142858,1189,8279.142857142857,NA,22913.85714285714,29866.14285714286,5989.857142857143,3018,1047.5714285714287,147718.57142857142,940,20110.14285714286,21876.714285714286,173389,738.4285714285714,1130360.857142857,3291.285714285714,1147.5714285714287,435.42857142857144,1503.142857142857,1558.5714285714287,2417.285714285714,NA,NA,NA,38041.4538019057,392.41674037052985
day 61,12466,979.1428571428571,7372.285714285715,NA,8535.142857142857,4791.428571428572,6937.428571428572,15740.714285714286,4135.714285714285,4464,60405.42857142857,38948.142857142855,51070,1199,9978.857142857143,2353.8571428571427,193944.42857142858,2234.4285714285716,818.1428571428571,1060.2857142857142,5346.857142857143,70019.28571428571,4038.4285714285716,42868.142857142855,81007.28571428571,16282.285714285714,816.5714285714286,3077.8571428571427,891.4285714285714,2512.714285714286,2229,1976.857142857143,927,8187.428571428572,10386.714285714286,4219.285714285715,13401,32928.71428571428,10492.285714285714,3196,1664,1753,852,3990.714285714286,1186225.4285714286,5966.571428571428,167658,4147.857142857143,755,162560.85714285713,7063.857142857143,2717.8571428571427,7497.428571428572,3992.5714285714284,1608.857142857143,6257.285714285715,4718.571428571428,1038.7142857142858,3604.285714285714,1801.2857142857142,82463.14285714286,15927.57142857143,89297.28571428571,3018,23515,16504.14285714286,189786.42857142858,11674.42857142857,678,8741,2142,10672.57142857143,1067.7142857142858,12011.142857142857,1751.2857142857142,1020.8571428571429,895.5714285714286,616.2857142857143,2877.714285714286,1588.857142857143,3922.5714285714284,1194.4285714285713,3503.285714285714,6540.571428571428,2219,1694.142857142857,5789.571428571428,49509,6811.142857142857,324,7212.857142857143,1150.4285714285713,NA,16144.285714285714,41320,1503.7142857142858,3147,960.2857142857143,9054.142857142857,1893.142857142857,7945,7870.142857142857,37899.42857142857,9715.57142857143,1089.4285714285713,88090.71428571429,11834.142857142857,17552.571428571428,27944.714285714286,21383.714285714286,16232.42857142857,271681.85714285716,418.85714285714283,47368.857142857145,3117.714285714286,10675.42857142857,1407.2857142857142,16291.142857142857,1493.5714285714287,1460.5714285714287,2661.5714285714284,15395.57142857143,2021,214914.2857142857,1256.857142857143,8443.285714285714,NA,23448.85714285714,29943.285714285714,6041.857142857143,3020.714285714286,1048.5714285714287,149071.85714285713,954,20497,22648.428571428572,177786.42857142858,741.4285714285714,1157573.5714285714,3352.8571428571427,1208.4285714285713,439,1530.5714285714287,1577.857142857143,2538,NA,NA,NA,42001.17022759086,401.46095933985447
day 62,13126.42857142857,990.5714285714286,7556.857142857143,NA,8988,5060.571428571428,6951,15778,4280,4722.714285714285,63152.57142857143,39856.42857142857,51523.57142857143,1199,10530,2368.4285714285716,205141.7142857143,2267.8571428571427,823.2857142857143,1095.2857142857142,5491.714285714285,71245,4087.1428571428573,45667.42857142857,81051.42857142857,16984.428571428572,838.7142857142857,3218.4285714285716,901,2574.5714285714284,2232,1991.7142857142858,930,8234.42857142857,10496.714285714286,4268.428571428572,13756.285714285714,33615,10896.42857142857,3291.5714285714284,1712.142857142857,1758,881.5714285714286,4153.857142857143,1210146.2857142857,6036.571428571428,168175.14285714287,4285.714285714285,764.1428571428571,163617.14285714287,7228.285714285715,2731,7854.142857142857,4045.714285714286,1622.857142857143,6321,4886.142857142857,1039.142857142857,3637.4285714285716,1801.4285714285713,86686,16462.571428571428,90391.71428571429,3109,23674.428571428572,16526,192384.42857142858,12051.285714285714,689.7142857142857,9028.57142857143,2243.714285714286,10684.42857142857,1078.5714285714287,12926.142857142857,1794.857142857143,1026.4285714285713,907.5714285714286,636.1428571428571,3048.714285714286,1601.4285714285713,3931.714285714286,1222.4285714285713,3565.5714285714284,6591.857142857143,2238,1738.857142857143,5855.714285714285,51933.57142857143,6949,324,7295.714285714285,1187.4285714285713,NA,16319.714285714286,41626.71428571428,1503.857142857143,3188.714285714286,962.2857142857143,9412.714285714286,1919.142857142857,7986.428571428572,8302.42857142857,39275.142857142855,9858.285714285714,1114.2857142857142,92049.85714285714,12067.285714285714,17918.14285714286,28145.285714285714,22607.571428571428,16439.285714285714,281172.4285714286,430.14285714285717,49701.857142857145,3192,10759.142857142857,1427.857142857143,16913.285714285714,1496.857142857143,1462.142857142857,2686.714285714286,16309.57142857143,2021,216136.57142857142,1326.857142857143,8567.42857142857,NA,23997.285714285714,30015,6093.571428571428,3023,1049.4285714285713,150328.85714285713,967.5714285714286,20879.14285714286,23451,181995.14285714287,745.8571428571429,1184536.7142857143,3418.4285714285716,1272.5714285714287,442.7142857142857,1550.7142857142858,1592.2857142857142,2676.285714285714,NA,NA,NA,46373.0516103118,410.71362481094616
day 63,13780.285714285714,1002.8571428571429,7740.714285714285,NA,9494.857142857143,5349,6966.142857142857,15822.42857142857,4442,4991.571428571428,65970.42857142857,40750.57142857143,51978.142857142855,1211.2857142857142,11101,2382,217395.14285714287,2301.1428571428573,828.2857142857143,1133.5714285714287,5707,72428.57142857143,4132.714285714285,48732.71428571428,81098.57142857143,17732.714285714286,860.8571428571429,3351.4285714285716,913.1428571428571,2639.8571428571427,2234.714285714286,2011.142857142857,932.4285714285714,8285.857142857143,10600.857142857143,4313.857142857143,14091.714285714286,34238,11327.57142857143,3392.285714285714,1760.2857142857142,1764.142857142857,912.4285714285714,4327.857142857143,1232092.5714285714,6094.571428571428,168408.57142857142,4386.571428571428,773.4285714285714,164630.7142857143,7426.428571428572,2748,8239.714285714286,4098.857142857143,1636.857142857143,6376,5047,1040.142857142857,3669,1801.5714285714287,91283.57142857143,16997.85714285714,91479.42857142857,3214.1428571428573,23826.571428571428,16548,194891.2857142857,12407.142857142857,699.5714285714286,9380.42857142857,2358.714285714286,10695.142857142857,1092,13852.857142857143,1834,1032.142857142857,919.4285714285714,650.8571428571429,3212.1428571428573,1612.4285714285713,3941.285714285714,1248,3645,6642,2254.8571428571427,1781.5714285714287,5914,54432.857142857145,7089.571428571428,324,7374.857142857143,1229,NA,16465,41920.57142857143,1504,3230.4285714285716,964.4285714285714,9766.285714285714,1944.142857142857,8023.285714285715,8754.714285714286,40789.42857142857,10019.42857142857,1133.142857142857,96073.42857142857,12294.714285714286,18253.428571428572,28353.14285714286,23947.85714285714,16641.14285714286,290502.28571428574,441.42857142857144,52120.28571428572,3271.8571428571427,10844.285714285714,1451.2857142857142,17550.285714285714,1498.4285714285713,1463.4285714285713,2709.714285714286,17252.571428571428,2039.142857142857,217194.85714285713,1402.7142857142858,8705.142857142857,NA,24569.428571428572,30077,6152.857142857143,3025.285714285714,1052.5714285714287,151477.85714285713,979.8571428571429,21261.428571428572,24281.571428571428,186055.57142857142,750.8571428571429,1210502.142857143,3491.714285714286,1328.142857142857,445.85714285714283,1568,1606.7142857142858,2801,NA,NA,NA,51199.999999999745,420.1795409514447
day 64,14448.57142857143,1018.1428571428571,7926.714285714285,NA,10067.42857142857,5661.714285714285,6982.857142857143,15867.142857142857,4622.571428571428,5277.142857142857,68897.42857142857,41635.71428571428,52445.28571428572,1223.5714285714287,11639,2395.8571428571427,230776.7142857143,2332,833,1176.142857142857,5871.142857142857,73612.57142857143,4178.285714285715,51994.857142857145,81153,18532.85714285714,883,3481.714285714286,923.7142857142857,2715.285714285714,2237.285714285714,2029.5714285714287,935,8336.142857142857,10690.857142857143,4353.857142857143,14383.285714285714,34737.28571428572,11812,3495.4285714285716,1808.4285714285713,1770.5714285714287,947.2857142857143,4510,1253461.7142857143,6149.571428571428,169505.85714285713,4491.571428571428,782.4285714285714,165576.85714285713,7606.714285714285,2763.5714285714284,8638.285714285714,4145.285714285715,1658.4285714285713,6431.285714285715,5197,1040.857142857143,3699.714285714286,1801.7142857142858,96136.85714285714,17533.714285714286,92544,3313.8571428571427,23970.714285714286,16568,197214.7142857143,12738.285714285714,706.4285714285714,9712.857142857143,2480.285714285714,10706.142857142857,1105.5714285714287,14787.142857142857,1870,1038,939.1428571428571,669.1428571428571,3379,1622.4285714285713,3950.5714285714284,1278.857142857143,3734.285714285714,6692.285714285715,2272.1428571428573,1813.4285714285713,5972,57106,7235.428571428572,324,7441.714285714285,1270.5714285714287,NA,16605.14285714286,42209,1504,3272.1428571428573,966.5714285714286,10113.857142857143,1970,8055.857142857143,9278.57142857143,42547,10208,1153.7142857142858,99959.57142857143,12523.714285714286,18615.571428571428,28571.714285714286,25265.571428571428,16839,299588.71428571426,453.42857142857144,54651,3357.285714285714,10922.714285714286,1469.857142857143,18201.285714285714,1500.5714285714287,1464.2857142857142,2734,18250.85714285714,2057.285714285714,218339.42857142858,1473,8839.57142857143,NA,25133.571428571428,30134.14285714286,6204.142857142857,3027.714285714286,1055.857142857143,152566.2857142857,992.1428571428571,21641.85714285714,25147.428571428572,189885.42857142858,758,1235973,3558.8571428571427,1397.4285714285713,449.14285714285717,1584.142857142857,1617.4285714285713,2976,NA,NA,NA,56529.3831000989,429.8636226529718
day 65,15135.857142857143,1035,8115.285714285715,NA,10675.57142857143,5988.857142857143,6997.857142857143,15910.857142857143,4818.571428571428,5582.714285714285,71916.28571428571,42515.71428571428,52902.42857142857,1249.142857142857,12162,2411.8571428571427,245268.42857142858,2360.285714285714,837.7142857142857,1226.857142857143,6035.285714285715,74789.85714285714,4219.428571428572,55443.42857142857,81207.85714285714,19345.14285714286,912.1428571428571,3616.8571428571427,936.1428571428571,2793.4285714285716,2239.5714285714284,2048.5714285714284,937.1428571428571,8394.714285714286,10772.714285714286,4390.714285714285,14704.142857142857,35247.857142857145,12354.57142857143,3602.5714285714284,1856.5714285714287,1776.7142857142858,989.8571428571429,4684.428571428572,1273895.4285714286,6206.142857142857,170594.2857142857,4595.428571428572,790.8571428571429,166494.14285714287,7775.285714285715,2780.4285714285716,9034,4199.714285714285,1680,6487.857142857143,5358.142857142857,1041.5714285714287,3727.5714285714284,1801.857142857143,101312.42857142857,18127.428571428572,93561.14285714286,3412.714285714286,24101.285714285714,16587.571428571428,199427.57142857142,13055.285714285714,712.7142857142857,10047,2608.285714285714,10717.285714285714,1119,15734.857142857143,1907,1043.857142857143,967,689.4285714285714,3555.5714285714284,1631.4285714285713,3958.8571428571427,1307.4285714285713,3839,6738,2289.285714285714,1839.7142857142858,6020.285714285715,59877.57142857143,7385.285714285715,324,7503.428571428572,1313.4285714285713,NA,16732.714285714286,42480,1504,3313.8571428571427,968.5714285714286,10485.42857142857,1995.5714285714287,8084.714285714285,9914.714285714286,44246.28571428572,10416.142857142857,1177.5714285714287,103847.14285714286,12746.285714285714,18976.714285714286,28788.714285714286,26642.85714285714,17030.14285714286,308708.5714285714,466.2857142857143,57252.142857142855,3444.285714285714,10993.285714285714,1487.4285714285713,18882.714285714286,1502.857142857143,1465.142857142857,2756,19260.571428571428,2076.1428571428573,219431,1538.857142857143,8936.285714285714,NA,25713,30186,6254.428571428572,3030.4285714285716,1059.857142857143,153622.2857142857,1003,22016.714285714286,26015.571428571428,193544.85714285713,765.2857142857143,1260612,3626.5714285714284,1484.2857142857142,451.7142857142857,1600.4285714285713,1626.5714285714287,3177.285714285714,NA,NA,NA,62413.499095268824,439.77089808304044
day 66,15852.714285714286,1054,8303.142857142857,NA,11306.857142857143,6326.142857142857,7013,15958.714285714286,5017.285714285715,5864.571428571428,74966.71428571429,43390.42857142857,53312.142857142855,1274.7142857142858,12650.285714285714,2428,260543,2386.5714285714284,842.4285714285714,1274,6228.571428571428,75953.71428571429,4260.142857142857,59145.42857142857,81265.85714285714,20212,941.2857142857143,3747,950,2872.5714285714284,2241.285714285714,2068,939.5714285714286,8455.57142857143,10849.714285714286,4422.571428571428,15048.57142857143,35786.857142857145,12950.857142857143,3715.714285714286,1904.7142857142858,1782.7142857142858,1038.4285714285713,4878,1293490.7142857143,6262.714285714285,171865.2857142857,4702.142857142857,798.1428571428571,167424.2857142857,7953.142857142857,2796.1428571428573,9439.714285714286,4252,1701.5714285714287,6544.142857142857,5532.285714285715,1042.7142857142858,3752.5714285714284,1802,106885.28571428571,18741.714285714286,94553,3517.5714285714284,24181.85714285714,16606.14285714286,201489.57142857142,13346.57142857143,717,10418.714285714286,2733.714285714286,10728.42857142857,1136.7142857142858,16692.571428571428,1937.7142857142858,1049,994.8571428571429,706.5714285714286,3728,1639.7142857142858,3967.4285714285716,1336.4285714285713,3923.4285714285716,6778.428571428572,2306.8571428571427,1864.142857142857,6062.857142857143,62659.28571428572,7543,324,7558,1361.142857142857,NA,16840.428571428572,42750.28571428572,1504,3355.5714285714284,970.4285714285714,10848.57142857143,2025.2857142857142,8110.285714285715,10583.42857142857,46194.57142857143,10641.857142857143,1202,107802.28571428571,12961.42857142857,19348.571428571428,29007,28083.428571428572,17212.285714285714,317669.85714285716,482,59901.142857142855,3540.714285714286,11063.857142857143,1503.857142857143,19540.714285714286,1505.4285714285713,1465.857142857143,2775.8571428571427,20286.571428571428,2097.5714285714284,220430.42857142858,1590.857142857143,9033,NA,26283.14285714286,30239,6311.428571428572,3032.1428571428573,1063.5714285714287,154653.85714285713,1012.8571428571429,22400.428571428572,26890.85714285714,196964.57142857142,773.4285714285714,1284737.142857143,3697.285714285714,1585.2857142857142,454.2857142857143,1615,1669.5714285714287,3373.1428571428573,NA,NA,NA,68910.08986277627,449.9065112957795
day 67,16611.285714285714,1073.857142857143,8484.42857142857,NA,11971.142857142857,6683.714285714285,7027,16011.285714285714,5236.142857142857,6152.428571428572,78074,44262.42857142857,53688.28571428572,1300.2857142857142,13172.142857142857,2442.714285714286,276342.85714285716,2410.5714285714284,844.5714285714286,1316.2857142857142,6508,77107.14285714286,4296.285714285715,63469.857142857145,81317.71428571429,21128.714285714286,970.4285714285714,3880.285714285714,965.8571428571429,2961.285714285714,2242.714285714286,2086.285714285714,940.8571428571429,8520.142857142857,10920.857142857143,4452.285714285715,15411.714285714286,36244.57142857143,13602,3833.8571428571427,1952.857142857143,1788.5714285714287,1088.142857142857,5035.285714285715,1311714.7142857143,6318.285714285715,173045.85714285713,4813.714285714285,801.8571428571429,168332.42857142858,8179.142857142857,2809.8571428571427,9872.57142857143,4304.428571428572,1721,6595,5683.857142857143,1043.7142857142858,3775.8571428571427,1802.142857142857,112710.28571428571,19416,95578,3627.714285714286,24260.428571428572,16623.14285714286,203486.2857142857,13605.857142857143,721.2857142857143,10813.42857142857,2858.714285714286,10738.57142857143,1158.2857142857142,17644.285714285714,1967.7142857142858,1053.857142857143,1023.8571428571429,724.8571428571429,3907,1647.4285714285713,3974.1428571428573,1372.2857142857142,4010.285714285714,6812.428571428572,2324.1428571428573,1886.5714285714287,6103.571428571428,65547,7708.428571428572,324,7611.428571428572,1402.2857142857142,NA,16956.571428571428,42994.142857142855,1504,3397.285714285714,972,11188.285714285714,2057.1428571428573,8133.428571428572,11321.142857142857,48258.857142857145,10892,1224,111951.71428571429,13171.714285714286,19730.571428571428,29234.571428571428,29561.428571428572,17377,326634,502.42857142857144,62493.28571428572,3637.714285714286,11127,1517.7142857142858,20242.428571428572,1508.142857142857,1466.4285714285713,2798.5714285714284,21295.714285714286,2121.8571428571427,221413.85714285713,1630.857142857143,9112.857142857143,NA,26848.714285714286,30289.428571428572,6361,3034.285714285714,1068.2857142857142,155674.85714285713,1022.2857142857143,22874.285714285714,27764.714285714286,200230,782.2857142857143,1308577.2857142857,3774.285714285714,1694.142857142857,456.7142857142857,1629,1707.142857142857,3573.714285714286,NA,NA,NA,76082.90760381136,460.27572490282853
